customer_id,age,annual_income,account_balance,credit_score,num_products,tenure_months,monthly_transactions,avg_transaction_amount,loan_amount,savings_account,credit_card,cluster,segment
1,56,52426.93873370101,12918.777496427248,366,1,17,65,342.5754132923937,0,1,1,0,Standard
2,69,74216.12476332224,20916.148411437334,650,4,74,39,148.55362575460563,0,1,1,0,Standard
3,46,32448.67265306619,9106.352430557885,408,1,57,54,275.82527159172366,0,0,1,0,Standard
4,32,41808.44633505579,23496.020970210244,445,1,55,86,195.6612673737695,10000,1,1,0,Standard
5,60,40197.296171696056,18570.154859650476,410,4,113,66,240.45040360956065,10000,0,1,0,Standard
6,25,15000.0,8070.904047393458,527,4,36,21,165.49153466054258,10000,0,1,2,Young Starters
7,38,57403.0069266144,23995.998754332508,410,5,12,92,306.1573311874431,5000,0,0,2,Young Starters
8,56,56526.38180449724,18072.995208766093,769,1,62,7,308.38101204351153,0,1,1,0,Standard
9,36,50127.83641606152,23128.621188389603,333,1,80,36,268.98935387332165,25000,1,1,0,Standard
10,40,44135.321665621326,21296.288419236123,668,5,88,17,291.12714907242565,5000,1,1,2,Young Starters
11,28,15000.0,6710.049890779277,724,3,36,93,58.34468336854212,5000,1,0,2,Young Starters
12,28,39483.866930866025,9398.189598030303,817,3,8,77,248.4868644363469,0,1,1,2,Young Starters
13,41,41432.13708683077,22472.936051232617,581,3,95,72,387.38026512313,0,1,0,0,Standard
14,70,29943.068269459527,21103.702654334647,619,5,21,18,273.71068505292465,0,1,1,2,Young Starters
15,53,45967.85720834977,14790.984060358518,742,1,81,15,45.39237457977151,0,0,1,0,Standard
16,57,60101.27142036346,16173.27383308782,614,5,87,60,192.53502355263728,5000,1,1,0,Standard
17,41,97154.64753026326,48779.90797766268,676,5,101,71,256.2466907509563,5000,0,1,1,Premium
18,20,54364.44532079597,9084.2861116417,588,3,36,96,86.39007246525364,10000,1,1,2,Young Starters
19,39,56438.75976806911,20470.97381170038,736,2,80,33,10.0,10000,1,0,0,Standard
20,70,48138.85210584582,12978.07347566106,576,1,70,13,152.58531973452097,25000,0,1,0,Standard
21,19,15000.0,12823.187967727798,802,3,36,71,88.87513880484464,10000,0,1,2,Young Starters
22,41,49337.15311376958,25987.7685198719,815,2,25,29,197.85664529150463,50000,1,1,3,Budget-Conscious
23,61,51505.75524852566,23254.1634898803,649,2,82,80,10.0,0,1,1,0,Standard
24,47,111581.05281213215,44947.95043513881,745,4,89,46,284.70515938042337,0,0,1,1,Premium
25,55,45190.97588047194,28054.78807154329,649,1,12,13,104.80924470599648,0,1,1,0,Standard
26,19,57538.68355834032,15210.03841632759,436,2,15,83,349.3628355022034,10000,0,1,2,Young Starters
27,38,49132.20575736892,21819.52971294964,542,3,59,44,158.46517403054327,25000,1,1,0,Standard
28,50,20783.0490595117,11897.33243406544,842,4,26,29,196.1916430423269,0,1,1,2,Young Starters
29,29,78570.57036287551,45083.7732972478,650,1,36,9,174.04476819546232,25000,0,1,1,Premium
30,39,68798.32581716936,13698.569456323154,528,5,109,15,96.77604648495912,0,0,1,0,Standard
31,61,69775.79867607617,15969.95964992718,847,3,26,63,570.841919340899,25000,0,0,0,Standard
32,42,27265.313630131528,20951.570254369137,522,2,47,92,125.62007329890729,0,1,1,0,Standard
33,66,85069.85777340247,32758.521841200192,650,2,32,83,353.528228369849,0,0,1,0,Standard
34,44,15000.0,35923.8727568546,621,3,10,42,35.95565809049074,5000,1,1,2,Young Starters
35,59,64671.42734500676,4939.826185002979,767,2,16,76,255.81970866397413,0,0,0,0,Standard
36,45,104761.39064524946,25541.831987184985,650,4,71,9,271.8308245897754,0,1,1,1,Premium
37,33,25236.59187173279,26581.10873500068,303,1,17,52,196.3734534352805,0,1,1,2,Young Starters
38,32,35842.5567599307,22916.62693962936,417,4,23,94,114.34929205406402,25000,1,1,2,Young Starters
39,64,52491.28412719103,21241.19817052155,803,2,26,22,160.5017146079054,5000,1,0,0,Standard
40,68,37413.10864709502,21283.4550926428,740,5,85,74,139.50657470403195,0,1,1,0,Standard
41,61,15000.0,14877.532271530854,493,1,86,41,560.3039422753184,10000,1,1,0,Standard
42,72,51714.07437015068,6027.456285141685,691,1,7,64,196.60953658327708,10000,1,1,0,Standard
43,69,23442.407156847377,15758.045581937264,325,3,14,52,278.73331679959256,0,1,1,0,Standard
